covariates,category,D,radius,temperature,pi_hat,no_support
full,Red Dwarf,0.0,0.675,3463.0,0.007076924814183709,True
full,Brown Dwarf,0.0,0.0912,3323.0,0.0071115540113001405,True
full,Main Sequence,1.0,7.01,12098.0,0.9906228742442786,True
full,Main Sequence,1.0,6.86,37800.0,0.9940655689774669,True
full,Main Sequence,0.0,0.865,4526.0,0.023165521704112516,True
full,White Dwarf,1.0,0.0116,13340.0,0.9941107235173818,True
full,Supergiant,1.0,24.0,7282.0,0.9886953460924944,True
full,Main Sequence,1.0,6.3,30000.0,0.9912628062864642,True
full,White Dwarf,1.0,0.0092,12010.0,0.9931640322679588,True
full,Brown Dwarf,0.0,0.0782,2856.0,0.007111560222311954,True
full,Supergiant,1.0,62.0,16787.0,0.9886665719086971,True
full,Main Sequence,1.0,6.4,28700.0,0.9912627476839749,True
full,Supergiant,1.0,57.0,24345.0,0.9886703621180183,True
full,Red Dwarf,0.0,0.46,3257.0,0.007077027038827126,True
full,Main Sequence,1.0,7.2,15276.0,0.9912622788500352,True
full,Brown Dwarf,0.0,0.0932,3146.0,0.007111553055760342,True
full,Supergiant,0.0,97.0,5752.0,0.9886400053246196,True
full,Red Dwarf,0.0,0.492,3095.0,0.0070770118239036105,True
full,Hypergiant,1.0,1130.0,21904.0,0.9754878257431352,True
full,Brown Dwarf,0.0,0.093,2945.0,0.007111553151314316,True
full,Brown Dwarf,0.0,0.0987,3218.0,0.007111550428026547,True
full,Brown Dwarf,0.0,0.0973,2889.0,0.007111551096904148,True
full,Red Dwarf,0.0,0.14,2650.0,0.0070771791898485365,True
full,Red Dwarf,0.0,0.393,3628.0,0.0070770588951784225,True
full,Brown Dwarf,0.0,0.126,3419.0,0.007111537384925794,True
full,Brown Dwarf,0.0,0.127,2637.0,0.007111536907156991,True
full,White Dwarf,1.0,0.0095,8930.0,0.9922851685868793,True
full,White Dwarf,1.0,0.0087,10980.0,0.9931640324976502,True
full,Red Dwarf,0.0,0.31,3100.0,0.0070770983592140235,True
full,Brown Dwarf,0.0,0.19,3432.0,0.007111506807786377,True
full,Supergiant,0.0,19.0,3826.0,0.0228067962739381,True
full,White Dwarf,1.0,0.00998,19360.0,0.9941107241591314,True
full,Red Dwarf,0.0,0.67,3598.0,0.007076927191484344,True
full,Brown Dwarf,0.0,0.112,2778.0,0.007111544073692445,True
full,Brown Dwarf,0.0,0.102,2600.0,0.007111548851386733,True
full,Brown Dwarf,0.0,0.16,2800.0,0.007111521140804225,True
full,Red Dwarf,0.0,0.28,2994.0,0.007077112623377035,True
full,Red Dwarf,0.0,0.291,3550.0,0.007077107393180619,True
full,White Dwarf,1.0,0.011,11790.0,0.9894404375684613,True
full,Supergiant,0.0,45.0,3575.0,0.022767621421976785,True
full,Red Dwarf,0.0,0.098,2621.0,0.007077199159911205,True
full,White Dwarf,1.0,0.00984,12990.0,0.9894404383885247,True
full,Red Dwarf,0.0,0.258,3142.0,0.0070771230837813935,True
full,Hypergiant,1.0,1045.0,18000.0,0.9833605332515578,True
full,Red Dwarf,0.0,0.34,2989.0,0.007077084095079556,True
full,Hypergiant,0.0,1183.0,3834.0,0.015378679854074009,True
full,Brown Dwarf,0.0,0.121,3225.0,0.007111539773770312,True
full,Hypergiant,0.0,1553.0,3614.0,0.015004152117836574,True
full,Supergiant,1.0,81.0,23440.0,0.9886521576785123,True
full,Supergiant,1.0,98.0,9383.0,0.9886392453755074,True
full,Red Dwarf,0.0,0.34,3324.0,0.007077084095079556,True
full,Main Sequence,0.0,0.91,5300.0,0.9884157248868262,True
full,White Dwarf,1.0,0.0084,25000.0,0.9931640326354652,True
full,Main Sequence,1.0,5.653,17140.0,0.9912631854351552,True
full,Red Dwarf,0.0,0.256,3541.0,0.007077124034728004,True
full,Red Dwarf,0.0,0.273,3345.0,0.0070771159516858475,True
full,Main Sequence,1.0,6.02,29560.0,0.9912629703713617,True
radius,Hypergiant,1.0,1423.0,8829.0,0.3996279122292337,False
radius,Main Sequence,1.0,6.36,22350.0,0.5539489304977319,False
radius,Hypergiant,0.0,955.0,3752.0,0.46209804726157316,False
radius,Supergiant,1.0,36.0,12893.0,0.5648494584487068,False
radius,Main Sequence,1.0,2.89,9700.0,0.5475439950831454,False
radius,Supergiant,1.0,14.0,40000.0,0.5597471965504125,False
radius,White Dwarf,1.0,0.00879,8924.0,0.4968860483399885,False
radius,Supergiant,0.0,84.0,3625.0,0.5654245325472039,False
radius,Main Sequence,1.0,5.745,14060.0,0.5531479155170801,False
radius,White Dwarf,1.0,0.00892,13720.0,0.4970157691970248,False
radius,Red Dwarf,0.0,0.47,3692.0,0.5319412979892746,False
radius,White Dwarf,1.0,0.0104,23092.0,0.4983721592236261,False
radius,Red Dwarf,0.0,0.351,3441.0,0.5293880007775943,False
radius,Supergiant,1.0,42.0,14245.0,0.5653404225556303,False
radius,Brown Dwarf,0.0,0.0976,3531.0,0.5181392869774716,False
radius,White Dwarf,1.0,0.01,8500.0,0.4980256109738885,False
radius,Main Sequence,1.0,1.93,8250.0,0.5441429082879589,False
radius,Supergiant,1.0,63.0,24630.0,0.5658939584364598,False
radius,Red Dwarf,0.0,0.161,3158.0,0.5225462045423375,False
radius,Main Sequence,1.0,1.34,7720.0,0.5410262008985074,False
radius,White Dwarf,1.0,0.0127,24020.0,0.5001375074102764,False
radius,Brown Dwarf,0.0,0.119,2968.0,0.5198856639252099,False
radius,Red Dwarf,0.0,0.38,3607.0,0.5300829232170363,False
radius,Supergiant,1.0,86.0,23095.0,0.5653462219536867,False
radius,White Dwarf,1.0,0.0142,19920.0,0.5011239001714783,False
radius,Supergiant,1.0,26.0,33750.0,0.563435334570138,False
radius,Red Dwarf,0.0,0.18,3304.0,0.5235272221398909,False
radius,Brown Dwarf,0.0,0.116,2914.0,0.5196607988300538,False
radius,Hypergiant,1.0,1779.0,11000.0,0.3534497294039845,False
radius,Brown Dwarf,0.0,0.0856,2731.0,0.5169830394118273,False
radius,Brown Dwarf,0.0,0.0899,2861.0,0.5174150551274926,False
radius,Red Dwarf,0.0,0.336,3496.0,0.5290054914141953,False
radius,Supergiant,1.0,46.0,18734.0,0.5655652155574399,False
radius,White Dwarf,1.0,0.0097,8570.0,0.49775647781505256,False
radius,White Dwarf,1.0,0.00898,11900.0,0.49707500405868893,False
radius,Supergiant,1.0,39.0,26373.0,0.5651207357109322,False
radius,Brown Dwarf,0.0,0.118,2774.0,0.5198113471274315,False
radius,Hypergiant,0.0,1534.0,4015.0,0.38503936658831617,False
radius,Main Sequence,1.0,10.2,36108.0,0.557526109988135,False
radius,Brown Dwarf,0.0,0.0932,2935.0,0.5177327749419464,False
radius,White Dwarf,1.0,0.0112,21020.0,0.49902696362625054,False
radius,Hypergiant,1.0,708.9,12100.0,0.49478377190541895,False
radius,Supergiant,1.0,25.0,10930.0,0.5632357894137627,False
radius,Brown Dwarf,0.0,0.1542,3042.0,0.5221665733873682,False
radius,Main Sequence,0.0,1.13,4980.0,0.5395596312346584,False
radius,Red Dwarf,0.0,0.307,3342.0,0.5282145636771336,False
radius,Main Sequence,1.0,6.98,11250.0,0.5546731826282871,False
radius,Main Sequence,1.0,5.49,26140.0,0.5527874446593634,False
radius,Supergiant,1.0,67.0,33421.0,0.5658632697531168,False
radius,Hypergiant,0.0,1480.0,3570.0,0.39211839967581263,False
radius,White Dwarf,1.0,0.011,7220.0,0.49886775582452986,False
radius,Brown Dwarf,0.0,0.0915,2831.0,0.517570535853074,False
radius,Main Sequence,1.0,0.9,5800.0,0.5375932795260201,False
radius,Supergiant,0.0,88.0,3270.0,0.5652632086911986,False
radius,Main Sequence,0.0,0.99,5587.0,0.5384178415729185,False
radius,Supergiant,1.0,92.0,21738.0,0.5650839027523518,False
radius,Main Sequence,1.0,6.21,13023.0,0.5537617718078551,False
radius,Hypergiant,0.0,1284.0,3450.0,0.41807268651873086,False
radius,White Dwarf,1.0,0.00981,13420.0,0.4978561143613751,False
radius,Supergiant,1.0,73.0,19923.0,0.5657601789194547,False
radius,Supergiant,1.0,12.0,33300.0,0.5586875976443451,False
radius,Brown Dwarf,0.0,0.11,2650.0,0.5191930146409528,False
radius,White Dwarf,1.0,0.014,16500.0,0.5009985737881154,False
radius,Red Dwarf,0.0,0.675,3463.0,0.5350965347606832,False
radius,Brown Dwarf,0.0,0.0912,3323.0,0.5175415919414388,False
radius,Main Sequence,1.0,7.01,12098.0,0.5547063682867844,False
radius,Main Sequence,1.0,6.86,37800.0,0.5545388079669636,False
radius,Main Sequence,0.0,0.865,4526.0,0.5372497093636622,False
radius,White Dwarf,1.0,0.0116,13340.0,0.49933702232465255,False
radius,Supergiant,1.0,24.0,7282.0,0.5630222974466165,False
radius,Main Sequence,1.0,6.3,30000.0,0.553874664994156,False
radius,White Dwarf,1.0,0.0092,12010.0,0.4972888632458149,False
radius,Brown Dwarf,0.0,0.0782,2856.0,0.5161859399040949,False
radius,Supergiant,1.0,62.0,16787.0,0.5658963258004581,False
radius,Main Sequence,1.0,6.4,28700.0,0.5539980067116125,False
radius,Supergiant,1.0,57.0,24345.0,0.5658727197828373,False
radius,Red Dwarf,0.0,0.46,3257.0,0.5317534417724196,False
radius,Main Sequence,1.0,7.2,15276.0,0.5549128747816616,False
radius,Brown Dwarf,0.0,0.0932,3146.0,0.5177327749419464,False
radius,Supergiant,0.0,97.0,5752.0,0.5648367880245065,False
radius,Red Dwarf,0.0,0.492,3095.0,0.5323407538893868,False
radius,Hypergiant,1.0,1130.0,21904.0,0.4386558585623976,False
radius,Brown Dwarf,0.0,0.093,2945.0,0.5177138427036246,False
radius,Brown Dwarf,0.0,0.0987,3218.0,0.5182380430021577,False
radius,Brown Dwarf,0.0,0.0973,2889.0,0.5181121597535548,False
radius,Red Dwarf,0.0,0.14,2650.0,0.5213164594071166,False
radius,Red Dwarf,0.0,0.393,3628.0,0.5303772504487893,False
radius,Brown Dwarf,0.0,0.126,3419.0,0.5203889729366983,False
radius,Brown Dwarf,0.0,0.127,2637.0,0.5204585742661162,False
radius,White Dwarf,1.0,0.0095,8930.0,0.49757239082324267,False
radius,White Dwarf,1.0,0.0087,10980.0,0.49679511286509936,False
radius,Red Dwarf,0.0,0.31,3100.0,0.5282997991635113,False
radius,Brown Dwarf,0.0,0.19,3432.0,0.5240025230730382,False
radius,Supergiant,0.0,19.0,3826.0,0.5616977283579742,False
radius,White Dwarf,1.0,0.00998,19360.0,0.4980079215710879,False
radius,Red Dwarf,0.0,0.67,3598.0,0.5350318673243171,False
radius,Brown Dwarf,0.0,0.112,2778.0,0.5193517281373002,False
radius,Brown Dwarf,0.0,0.102,2600.0,0.5185278203893159,False
radius,Brown Dwarf,0.0,0.16,2800.0,0.522491397705071,False
radius,Red Dwarf,0.0,0.28,2994.0,0.5274073943720413,False
radius,Red Dwarf,0.0,0.291,3550.0,0.5277453199278178,False
radius,White Dwarf,1.0,0.011,11790.0,0.49886775582452986,False
radius,Supergiant,0.0,45.0,3575.0,0.5655156560449904,False
radius,Red Dwarf,0.0,0.098,2621.0,0.5181753268187309,False
radius,White Dwarf,1.0,0.00984,12990.0,0.49788309409555637,False
radius,Red Dwarf,0.0,0.258,3142.0,0.5266894983996698,False
radius,Hypergiant,1.0,1045.0,18000.0,0.4500453221132492,False
radius,Red Dwarf,0.0,0.34,2989.0,0.5291091510764447,False
radius,Hypergiant,0.0,1183.0,3834.0,0.4315606318530955,False
radius,Brown Dwarf,0.0,0.121,3225.0,0.520032435954362,False
radius,Hypergiant,0.0,1553.0,3614.0,0.3825574548781524,False
radius,Supergiant,1.0,81.0,23440.0,0.5655326822385122,False
radius,Supergiant,1.0,98.0,9383.0,0.5647845113700609,False
radius,Red Dwarf,0.0,0.34,3324.0,0.5291091510764447,False
radius,Main Sequence,0.0,0.91,5300.0,0.5376889482775782,False
radius,White Dwarf,1.0,0.0084,25000.0,0.4964850529574537,False
radius,Main Sequence,1.0,5.653,17140.0,0.5530199377601792,False
radius,Red Dwarf,0.0,0.256,3541.0,0.5266212065457083,False
radius,Red Dwarf,0.0,0.273,3345.0,0.5271853205513058,False
radius,Main Sequence,1.0,6.02,29560.0,0.5535173308279636,False
